user,item,rating,date
0,4,5,1474675200
0,70,5,1491177600
0,9,4,1504137600
0,6,5,1507161600
0,13,5,1508976000
0,28,5,1517184000
0,36,5,1520812800
0,69,1,1537315200
0,38,5,1552003200
0,28,5,1552953600
0,61,5,1554681600
0,45,4,1563494400
0,9,4,1563926400
0,0,2,1573344000
0,43,5,1573516800
0,4,5,1575331200
0,28,5,1576800000
0,36,5,1582070400
1,9,4,1483660800
1,64,4,1573257600
1,0,4,1577577600
1,4,4,1589414400
2,0,4,1480464000
2,55,5,1534723200
2,28,5,1534982400
2,73,5,1537228800
2,61,5,1537920000
3,5,5,1469318400
3,53,3,1482883200
3,36,5,1560038400
3,65,5,1562716800
3,25,5,1588291200
4,9,3,1488240000
4,60,5,1489795200
4,6,4,1492819200
4,35,5,1502064000
4,9,5,1517356800
4,28,5,1527552000
4,36,5,1530489600
4,69,5,1533600000
4,73,5,1536969600
4,0,4,1560729600
4,77,5,1566172800
4,28,5,1581465600
4,14,5,1581724800
4,28,5,1587945600
5,6,5,1455321600
5,27,5,1456358400
5,0,5,1497657600
5,57,4,1505001600
5,54,5,1510099200
6,9,5,1447977600
6,0,5,1470960000
6,5,5,1489881600
6,77,5,1572998400
7,43,5,1507248000
7,70,5,1507852800
7,9,4,1522108800
7,0,5,1530576000
7,77,5,1530835200
7,62,4,1531526400
7,9,5,1542067200
7,58,5,1549929600
7,72,5,1557964800
7,36,5,1584748800
7,69,3,1586995200
7,28,5,1587340800
7,28,4,1590451200
8,0,5,1569801600
8,50,5,1578096000
8,15,5,1579651200
8,47,5,1595808000
8,13,5,1596153600
9,13,4,1574208000
9,17,5,1574726400
9,31,5,1575936000
9,0,5,1582070400
10,9,5,1540512000
10,37,5,1559779200
10,28,5,1568678400
10,71,5,1578441600
10,5,4,1590969600
10,0,5,1592092800
11,6,5,1511827200
11,9,5,1511827200
11,0,5,1551657600
11,53,5,1561161600
12,54,1,1452556800
12,0,5,1503360000
12,71,5,1511136000
12,22,5,1511308800
12,60,5,1514419200
12,23,5,1559606400
13,53,4,1466553600
